"margin" "qseqid" "sseqid" "staxid" "pident" "score" "qcovs" "kingdom" "phylum" "class" "order" "family" "genus" "species" "species_score" "genus_score" "family_score" "order_score" "class_score" "phylum_score" "kingdom_score" "alternatives" "pident.max.best" "possible.misid" "ssciname" "score.id" "seqNoID"
"seq100026" "upper" "seq100026" "INRMA3984N21" "  85663" " 91.705" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" "Bombus" "Bombus jonellus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Bombus jonellus, 91.705" " 91.705" "1" "Bombus jonellus" "Bombus" "seq100026"
"seq10005" "upper" "seq10005" "GBSP8934N13" " 231624" " 97.521" "2.307981e-02" "100" "Metazoa" "Rotifera" "Eurotatoria" NA NA "Rotaria" "Rotaria rotatoria" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Rotaria rotatoria, 99.174, Rotaria rotatoria, 97.521" " 99.174" "1" "Rotaria rotatoria" "Rotaria rotatoria" "seq10005"
"seq100050" "upper" "seq100050" "GBCM22932N19" " 938113" " 98.157" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Hexanauplia" "Cyclopoida" "Cyclopidae" "Megacyclops" "Megacyclops viridis" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Megacyclops viridis, 98.157" " 98.157" "1" "Megacyclops viridis" "Megacyclops viridis" "seq100050"
"seq100052" "upper" "seq100052" "AGROT325N10" "  84394" " 92.727" "1.000000e+02" "100" "Metazoa" "Rotifera" "Eurotatoria" "Ploima" NA NA "Ploima" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Ploima, 92.727" " 92.727" "1" "Ploima" NA "seq100052"
"seq10016" "upper" "seq10016" "GBMNB56454N20" "1112786" " 96.694" "5.342764e-01" "100" "Metazoa" "Arthropoda" "Ostracoda" "Podocopida" "Candonidae" "Candona" "Candona candida" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Candona candida, 97.521, Candona candida, 96.694" " 97.521" "0" "Candona candida" "Candona" "seq10016"
"seq1003" "upper" "seq1003" "GU722847" "   6082" " 99.539" "2.486616e+01" "100" "Metazoa" "Cnidaria" "Hydrozoa" "Anthoathecata" "Hydridae" "Hydra" "Hydra viridissima" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Hydra viridissima, 99.539, Hydra viridissima, 99.078" " 99.539" "0" "Hydra viridissima" "Hydra viridissima" "seq1003"
"seq10039" "upper" "seq10039" "HMKKT565N10" "1271722" "100.000" "1.108466e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Trichoptera" "Limnephilidae" "Halesus" "Halesus radiatus" " 66.50793" "100.00000" "100" "100" "100" "100" "100" "Halesus, 100.000, Halesus digitatus, 100.000, Halesus radiatus, 100.000, Halesus digitatus,  99.537, Halesus tessellatus,  98.611, Halesus tessellatus,  98.148" "100.000" "1" "Halesus" "Halesus" "seq10039"
"seq10041" "upper" "seq10041" "EBPTY012N15" "1903308" "100.000" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Ptychopteridae" "Ptychoptera" "Ptychoptera longicauda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Ptychoptera longicauda, 100" "100.000" "1" "Ptychoptera longicauda" "Ptychoptera longicauda" "seq10041"
"seq1011" "upper" "seq1011" "KUGA148N21" "  50515" " 93.088" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Dytiscidae" NA "Dytiscidae" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Dytiscidae, 93.088" " 93.088" "1" "Dytiscidae" NA "seq1011"
"seq1014" "upper" "seq1014" "GAHAP2886N15" " 212246" " 97.696" "9.941323e-04" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Chaetogaster" "Chaetogaster diaphanus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Chaetogaster diaphanus, 99.078, Chaetogaster diaphanus, 97.696" " 99.078" "0" "Chaetogaster diaphanus" "Chaetogaster diaphanus" "seq1014"
"seq10155" "upper" "seq10155" "PGCBG016N20" "1051990" "100.000" "1.916786e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Endochironomus" "Endochironomus tendens" " 59.18559" "100.00000" "100" "100" "100" "100" "100" "Endochironomus tendens, 100.000, Endochironomus stackelbergi, 100.000, Endochironomus albipennis,  99.539, Endochironomus tendens,  99.539, Endochironomus albipennis,  99.078, Endochironomus tendens,  99.078" "100.000" "0" "Endochironomus stackelbergi" "Endochironomus" "seq10155"
"seq1017" "upper" "seq1017" "KC788687" " 315524" " 99.539" "5.000000e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Micropsectra" "Micropsectra atrofasciata" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Micropsectra atrofasciata, 99.539" " 99.539" "1" "Micropsectra atrofasciata" "Micropsectra atrofasciata" "seq1017"
"seq10177" "upper" "seq10177" "FBAQU222N09" "1587224" "100.000" "3.309576e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Coleoptera" "Scirtidae" "Contacyphon" "Contacyphon ruficeps" " 66.19152" "100.00000" "100" "100" "100" "100" "100" "Contacyphon coarctatus, 100.000, Contacyphon ruficeps, 100.000, Contacyphon coarctatus,  99.539, Contacyphon coarctatus,  98.618" "100.000" "0" "Contacyphon coarctatus" "Contacyphon" "seq10177"
"seq102478" "upper" "seq102478" "GMGMQ1024N18" "   7150" "100.000" "3.333322e+01" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Chironomus" "Chironomus" " 66.66645" "100.00000" "100" "100" "100" "100" "100" "Chironomus, 100.000, Chironomus pseudomendax, 100.000, Chironomus pseudomendax,  98.618" "100.000" "0" "Chironomus" "Chironomus" "seq102478"
"seq102553" "upper" "seq102553" "KX291789" " 692089" " 98.157" "2.123937e-05" "100" "Metazoa" "Arthropoda" "Insecta" "Trichoptera" "Limnephilidae" "Limnephilus" "Limnephilus rhombicus" " 99.95402" " 99.95402" "100" "100" "100" "100" "100" "Limnephilus rhombicus, 100.000, Limnephilidae,  99.078, Limnephilus rhombicus,  99.078, Limnephilus rhombicus,  98.618, Limnephilus rhombicus,  98.157" "100.000" "0" "Limnephilus rhombicus" "Limnephilidae" "seq102553"
"seq102580" "upper" "seq102580" "LEFIJ3528N16" " 879748" " 98.618" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Corynoneura" "Corynoneura fittkaui" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Corynoneura fittkaui, 98.618" " 98.618" "1" "Corynoneura fittkaui" "Corynoneura fittkaui" "seq102580"
"seq10267" "upper" "seq10267" "GBIOA596N21" "   6658" " 94.009" "1.000000e+02" "100" "Metazoa" "Arthropoda" "Branchiopoda" NA NA NA "Branchiopoda" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Branchiopoda, 94.009" " 94.009" "1" "Branchiopoda" NA "seq10267"
"seq10301" "upper" "seq10301" "GBAN13853N19" "1969981" "100.000" "1.000000e+02" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Psammoryctides" "Psammoryctides albicola" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Psammoryctides albicola, 100.000, Naididae,  99.539" "100.000" "1" "Psammoryctides albicola" "Psammoryctides albicola" "seq10301"
"seq10303" "upper" "seq10303" "CHOSF001N11" "2578447" " 98.157" "1.147925e-02" "100" "Metazoa" "Arthropoda" "Insecta" "Diptera" "Chironomidae" "Brillia" "Brillia bifida" " 99.97704" " 99.97704" "100" "100" "100" "100" "100" "Brillia bifida, 99.078, Brillia bifida, 98.618, Chironomidae, 98.157, Brillia bifida, 98.157, Brillia bifida, 97.696" " 99.078" "0" "Brillia bifida" "Chironomidae" "seq10303"
"seq1031" "upper" "seq1031" "GAHAP2886N15" " 212246" "100.000" "5.000000e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Chaetogaster" "Chaetogaster diaphanus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Chaetogaster diaphanus, 100" "100.000" "0" "Chaetogaster diaphanus" "Chaetogaster diaphanus" "seq1031"
"seq10315" "upper" "seq10315" "GBMIN1810N12" " 212246" " 97.235" "9.999801e+01" "100" "Metazoa" "Annelida" "Clitellata" "Tubificida" "Naididae" "Chaetogaster" "Chaetogaster diaphanus" "100.00000" "100.00000" "100" "100" "100" "100" "100" "Chaetogaster diaphanus, 97.235, Chaetogaster diaphanus, 95.853" " 97.235" "0" "Chaetogaster diaphanus" "Chaetogaster" "seq10315"
